year,ALL_allpub,ALL_Q12pub,ALL_Q1pub,ALL_top10pub,FA_allpub,FA_Q12pub,FA_Q1pub,FA_top10pub,LA_allpub,LA_Q12pub,LA_Q1pub,LA_top10pub
-2,-1,-1,0,0,0,0,1,1,0,0,0,0
-2,0,-1,-1,-1,1,0,0,0,0,0,0,0
-2,2.5,2.5,-0.5,-0.5,1,1,-0.5,-0.5,0,0,0,0
-2,-1,-1,0,1,0,0,1,2,0,0,0,0
-2,0,0,-1,-1,-2,-2,-2,-2,0,0,0,0
-2,-2,0,-1,0,1,2,-1,0,-2,-1,0,0
-2,0,0,-0.75,-1.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.5,-0.25
-2,-0.5,-1,-2,3,-1.5,-1.5,-2.5,0.5,0.5,0.5,0,0
-2,0.666666667,0.333333333,0.333333333,1,1.333333333,1,1,1,0,0,0,0
-2,1,1,1,0,0,0,0,0,0,0,0,0
-2,0.5,0.5,1,0.5,1,1,1.5,1,0.5,0.5,0.5,0
-2,-3,-3,-3,-2,-2,-2,-2,-1,0,0,0,0
-2,3,3,2,3,0,0,0,0,0,0,0,0
-2,1.666666667,1.666666667,2.666666667,0.333333333,2.833333333,2.833333333,2.833333333,1.333333333,0,0,0,0
-2,0,0,-1,-1,0,0,-1,-1,0,0,0,0
-2,-1.2,-1,0,-0.4,-1.8,-1.6,-1.6,-1.4,0.6,0.6,0.6,0.2
-2,-4,-4,0,0,-0.5,-0.5,0.5,-0.5,0,0,0,0
-2,7,7,8,7,-1,-1,0,1,6,6,6,4
-2,0,-1,0,0.5,-1,-1,0,0,0,0,0,0
-2,-0.5,-1.5,-1,-0.75,-1,-1,-1,-1,0,0,0,0
-2,2.666666667,2.666666667,2.666666667,1.666666667,0.333333333,0.333333333,0.333333333,-0.333333333,0.666666667,0.666666667,0.666666667,0.666666667
-2,5,5,3.5,3.5,1.5,1.5,1,1.5,1.5,1.5,0.5,0.5
-2,0,0,0,1,-1,-1,-1,0,0,0,0,0
-2,4.5,4.5,4.5,1,2.5,2.5,2.5,0.5,0,0,0,0
-2,0,0,-0.5,0.75,-1.5,-1.5,-1.25,-0.75,0.75,0.75,0,0.75
-2,0,0,1,1,2,2,3,2,0,0,0,0
-2,0,2,2,2,0,0,0,1,-1,1,1,1
-2,3,3,3,1,0,0,0,0,0,0,0,0
-2,1.666666667,1.666666667,1,1.333333333,0,0.333333333,-0.666666667,0,0.666666667,0.666666667,1,0.333333333
-2,-3,-3,-2,-1,-1,-1,-1,-1,0,-1,-1,0
-2,-3,-4,-4,2,-4,-5,-5,0,0,0,1,2
-2,-4,-4,-2,-3,-2,-2,-1,-1,0,0,0,0
-2,1,1,-1,0,2,2,0,0,0,0,0,0
-2,-4,-3,-2,-3,2,2,2,2,0,0,0,0
-2,3.75,3.5,4.25,2,0,0,0.25,0.25,0.75,0.75,1.75,0.25
-2,1,0,0,-2,-0.666666667,-1.333333333,-1.333333333,-2.333333333,1,1,1,0
-2,0,-0.333333333,-0.333333333,-1.666666667,-2,-2,-2,-2,-0.666666667,-0.666666667,-0.666666667,-1
-2,0.714285714,0.714285714,1.571428571,-1,-0.428571429,-0.428571429,-0.428571429,-0.285714286,-0.428571429,-0.714285714,0.142857143,-0.428571429
-2,2,1,1,0,0,0,1,0,0,0,0,0
-2,-1.666666667,-1.666666667,-1.333333333,-0.666666667,0.666666667,0.666666667,1,1,-0.333333333,-0.333333333,-0.333333333,-0.333333333
-2,6,5.4,2.2,1,2.8,3,0.8,0.6,-0.4,-0.2,-0.4,-0.2
-2,4.25,5.25,3.25,-0.25,0.75,0.75,0.75,0,-0.5,-0.5,-0.75,-0.75
-2,-1,-1,-1,0.5,0,0,-0.5,0,-1,-1,-1,0.5
-2,1.4,0.8,-0.2,-1.2,1.2,1.2,1.2,1.4,-0.8,-1.2,-1.6,-2.2
-2,2,3,0,0,1,1,0,0,1,1,0,0
-2,-4.666666667,-4.333333333,-4.333333333,-3.333333333,-2.666666667,-2.333333333,-2.333333333,-2,0,0,0,0
-2,1.5,1.5,1.25,-0.25,-0.5,-0.5,-0.75,-0.75,0.5,0.5,0.5,0.25
-2,2,2,2,3,3,3,2,2,2,2,2,2
-2,-2.5,-2.5,-2,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
-2,3.25,3,2.25,2,0,0,0,0,0.25,0.25,0.25,0.25
-2,-2,-2,-2,-2,-1,-1,-1,-1,-0.5,-0.5,-0.5,-1
-2,0.4,0.4,0.4,1.2,-0.6,-0.4,-0.2,0,1,0.8,1.2,1
-2,1.833333333,1.833333333,1.833333333,0.166666667,1.833333333,1.833333333,1.833333333,0.5,0,0,0,0
-2,0.5,0.5,0.5,1,-1,-1,-1,-1,0,0,0,0
-2,7,7,7,0,2,2,2,0,3,3,3,0
-2,-0.666666667,0.333333333,2,1,0.666666667,1.666666667,1.333333333,1.333333333,-1,-1,0,0
-2,-5.333333333,-2,1.333333333,0.666666667,1.666666667,2,1.333333333,1.333333333,-4,-1,0,-0.333333333
-2,-1,-1.333333333,-0.333333333,-0.666666667,0,-0.333333333,-0.333333333,-0.333333333,0.333333333,0.333333333,0.333333333,0
-2,0,0,-1,-1,1,1,0,0,0,0,0,0
-2,2.5,2.666666667,1.166666667,2,-1.166666667,-1,-0.833333333,0.333333333,0,0.333333333,0.166666667,0
-2,-2,-1,-2,-2,-2,-1,-1,-1,-2,-1,-1,-1
-2,-1.333333333,-1.333333333,-1.333333333,-0.583333333,-0.5,-0.5,-0.5,0.25,0,0,0,0
-2,3,2,1.5,1,2,2,1.75,2,0.25,0.25,0,0
-2,0,-1,-1.166666667,-1.916666667,-0.083333333,-0.083333333,-0.583333333,-0.833333333,0.5,0.5,0.5,0.25
-2,3.625,2.625,2.875,-0.125,2.25,2.25,2.25,0.125,0.375,0.25,0.5,0.25
-2,-1,-1,-1,-1,2,2,2,1,0,0,0,0
-2,0,1,2,1,1,2,3,1,-1,-1,-1,0
-2,2,4,4,4,0.5,0.5,0.5,0.5,1.5,3.5,1,1.5
-2,-3,-0.5,3.5,1.5,-1.5,-1,-0.5,0,-1,0,2.5,2
-2,-1,0,-1,0,-3,-2,-3,-2,-1,-1,-1,-1
-2,-2,-2,-1.5,-1.5,-1,-1,-1,-1,0,0,0.5,-0.5
-2,-1,-1,-1,0,0,0,-1,0,0,0,0,0
-2,6,3,0.5,2,-0.5,-1.5,-2,-2,4.5,4.5,3,2
-2,-1,-1,0.5,2.5,1.5,1.5,1.5,0.5,-1.5,-1.5,0,1
-2,-3,-3,-3,-3,-2,-2,-1,-1,-1,-1,-1,0
-2,0.142857143,0.142857143,0,0.142857143,0,0,-0.142857143,0,0.142857143,0.142857143,0.142857143,0
-2,-6,-6,-6.333333333,-4.333333333,-1,-1,-1,0,-0.333333333,-0.333333333,-0.333333333,-0.333333333
-2,-1,-1,-1,1,0,0,0,0,-2,-2,-2,-1
-2,3,3,1,0,0,0,0,0,1,1,0,0
-1,2,2,1,1,2,2,2,2,0,0,0,0
-1,0,0,0,-1,1,1,1,0,0,0,0,-1
-1,-3,-3,-3,0,-4,-4,-4,-1,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0
-1,5,4,3,3,4,3,2,2,1,1,0,0
-1,-1,-1,-1,0,-1.5,-1.5,-1.5,-2,-0.5,-0.5,-0.5,0
-1,-3,-3,-3,-3,-2,-2,-2,-2,0,0,0,0
-1,3,3,2,1.5,0.5,0.5,-0.5,0,0.5,0.5,0,0
-1,-2,-2,-1,-1,0,0,1,1,-2,-2,-2,-2
-1,-2,-2,-1.75,-3.75,2,2,2.25,0.25,0.25,0.25,0.25,0.25
-1,5.5,1.5,0,1,2,0,0,0,7.5,3.5,2,2
-1,-3.666666667,-2.666666667,-2.666666667,-3.333333333,-1.333333333,-0.333333333,-0.333333333,-1,-2.666666667,-2.666666667,-0.333333333,-0.333333333
-1,1,1,0,-1,2,2,1,1,-2,-2,-2,-2
-1,6,6.5,5.5,4.5,1,1,1,2,0.5,0.5,0.5,0.5
-1,-5.333333333,-3,-3.333333333,-0.666666667,-3.333333333,-3,-3.333333333,-2,-0.333333333,-0.333333333,-0.333333333,-0.333333333
-1,6,4,3,1,2,2,2,1,1,1,0,0
-1,-0.666666667,-0.333333333,-0.333333333,-0.333333333,0.333333333,0.666666667,0.666666667,1,0.666666667,0,0,0
-1,4,3,4,2,4,3,2,0,1,1,1,1
-1,2.25,2,-0.5,-1.25,2.75,2.5,1,0,0.5,0.5,0.25,0.25
-1,1,1,1,1,1,1,1,1,1,1,1,1
-1,-3,-1,-0.5,0,-2.5,-0.5,0,0,-0.5,-0.5,-0.5,0
-1,1.166666667,1.166666667,1.333333333,0.833333333,0.166666667,0.166666667,0.166666667,-0.166666667,0,0,0,0
-1,-1,-1,-1,-1,0.6,0.6,0.6,0.6,0,0,0,0
-1,3,3,2,-0.5,2,2,1,1,0,0,0,0
-1,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0
-1,0,0,0,1,0,0,0,0,0,0,0,0
-1,1,0.5,0.5,2.5,0,0,0,0.5,1.5,1,1,1
-1,0,0,0,0.5,-1,-1,-1,-0.5,0,0,0,0
-1,-1,-1,-1,-1,-2,-2,-2,-2,0,0,0,0
-1,-0.666666667,-0.666666667,-1.333333333,-1,-1.333333333,-1.333333333,-0.666666667,-0.333333333,0.666666667,0.666666667,0.333333333,0
-1,-1,-1,-0.666666667,-0.666666667,0.666666667,0.666666667,0.666666667,0,0,0,0,0
-1,1.333333333,1.333333333,1.083333333,1.25,1.5,1.5,1.5,1.25,0.166666667,0.166666667,-0.083333333,0.166666667
-1,-2,-2,0,-0.2,-2,-2,0.2,0,0.8,0.8,0.8,0.8
-1,0,1,2,2,3,3,2,1,0,0,0,0
-1,-4,-3,-2,0,1,2,2,1,0,0,0,0
-1,-5,-5,-4,-2.5,-3.5,-3.5,-3,-1.5,0,0,0,0
-1,-4,-4,-4,-3,-1,-1,-1,1,0,0,0,0
-1,1.4,1.2,0.6,0,-0.6,-0.6,-0.8,-0.2,-0.2,-0.2,0,0.2
-1,3.5,2.5,2.5,2.5,-3,-3,-3,-2,0,0,0,0
-1,-1.5,-1.5,1.5,1.5,-0.5,-0.5,1,1,1,0.5,0,0
-1,3,3,3,-1,1,1,1,0,0,0,0,0
-1,2,2,2,2,1,1,1,1,0,0,0,0
-1,6.8,6.6,6,5.8,4.4,4.4,4.2,4.2,0.8,0.8,0.6,0.8
-1,6,6,4,0,1,1,0,0,5,4,3,0
-1,3,3,3,1,-1,-1,-1,-1,5,5,5,2
-1,-2.5,-2.5,-2.5,-3,-2,-2,-2,-1,0.5,0.5,0.5,0
-1,-7,-7,-6,-5,-4,-4,-4,-3,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0
-1,2,2,2,0,1,1,1,-1,0,0,0,0
-1,1,1,1,2,3,3,3,2,-3,-3,-3,-1
-1,0,0,0.5,-0.5,0,0,0,-1,0,0,0,0
-1,-1.5,-1.5,-0.5,-0.5,-1,-1,0,-0.5,-0.5,-0.5,-0.5,0
-1,1,0.666666667,0.666666667,-0.333333333,1.333333333,1,0.666666667,-0.333333333,0.666666667,0.333333333,0,0
-1,-1,-1,1,1,-1,-1,1,1,0,0,0,0
-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0
-1,1,1,-2,-2.5,-0.5,-0.5,-2,-2.5,0,0,0,0
-1,1,1,2,3,0,0,1,2,0,0,0,0
-1,4,4,4,3,1,1,1,0,0,0,0,0
-1,-4,-2,-4,-1,0,1,-2,0,-3,-2,-2,0
-1,-1,-1,-1,-2,1,1,0,-1,-2,-2,-1,-1
-1,-0.25,0,-0.5,-0.5,0,0,0,0,0,0.25,0,0
-1,0.5,1.5,0.5,1.5,-0.5,0,-1,0,0.5,0.5,0,0
-1,1,0.666666667,0.666666667,1.666666667,0,-0.333333333,-0.333333333,0.333333333,-0.666666667,-0.666666667,-0.666666667,0
-1,1,1,1,0,0,0,0,0,0,0,0,0
-1,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0
-1,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0
-1,-3,-3,-2,-1.5,-1.5,-1.5,-1.5,-1.5,0,0,0,0
-1,-2.25,-2.25,-2.25,-3,-1.25,-1.25,-1.25,-1,0,0,0,0
-1,2,2,1,2,0,0,0,0,0,0,0,0
-1,1.666666667,-0.333333333,1.333333333,0,0.666666667,0.666666667,0.666666667,0.666666667,0,0,0,0
-1,-1,-1,-2,-1,-1,-1,-2,-1,0,0,0,0
-1,-0.6,-0.6,-0.2,-0.8,-1.6,-1.6,-1.4,-1.6,0.6,0.6,0.8,0.2
-1,-2,-2,1,0,-1,-1,0,0,0,0,0,0
-1,5,5,6,6,-2,-2,-1,0,5,5,5,3
-1,2,2.5,2.5,2.5,1,1,1,1,-1,-0.5,-0.5,0
-1,4.166666667,2.166666667,2.166666667,1.25,0.666666667,0.666666667,0.666666667,0,0,0,0,0
-1,0,0.333333333,0.666666667,0.333333333,-0.333333333,0,0.333333333,-0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
-1,1,2,3,-0.333333333,0.333333333,0.333333333,1.333333333,0.333333333,-1,-1,-1,-1
-1,2,2,1,0.5,0,0,-0.5,0.5,1,1,0,0.5
-1,0,0,0,1,-1,-1,-1,0,0,0,0,0
-1,3.5,3.5,2.5,1,1.5,1.5,1.5,0.5,0,0,0,0
-1,-2.75,-2.75,-3.5,-2.25,-0.25,-0.25,-0.25,-0.25,-0.75,-0.75,-1.75,-1
-1,1,1,2,1,2,2,3,1,0,0,0,0
-1,-1,0,1,1,-1,-1,-1,0,-1,1,1,1
-1,6,5,5,5,5,4,4,3,0,0,0,0
-1,1,1,1,1,1,1,1,1,0,0,0,0
-1,-2,-2.333333333,-2,-1.333333333,-2.333333333,-2.333333333,-2,-1.333333333,-0.333333333,-0.333333333,0,-0.333333333
-1,2,2,1.5,2,0,0,0,0.5,0,0,0,0
-1,0,-2,-1,-1,2,0,0,-1,0,-1,-1,0
-1,-4,-4,-4,1,-6,-6,-6,-1,2,2,2,2
-1,0,1,1,0,-1,0,0,0,0,0,0,0
-1,-1,0,-1,0,0,1,0,0,0,0,0,0
-1,-4,-3,-4,-4,1,1,1,1,0,0,0,0
-1,0.5,0.25,2,-1,0.25,0.25,0.25,0.25,0.75,0.75,2.5,0
-1,-1.666666667,-2.333333333,-2.666666667,-1.666666667,-2.333333333,-2.666666667,-3,-2,0,0,0,0
-1,1.666666667,1.666666667,2,0,0.333333333,0.333333333,0.666666667,-0.333333333,-1,-1,-1,-1
-1,2.142857143,2.428571429,2,0.857142857,-0.285714286,-0.142857143,-0.142857143,-0.142857143,0.714285714,0.857142857,0.571428571,0.571428571
-1,1,0,0,-3,-1,-1,-1,-2,0,0,0,0
-1,1.333333333,1.333333333,1,1,2,2,2,2,0,0,0,0
-1,1.8,2,1.6,0.6,1,1.2,1.2,0.2,0,0,-0.4,-0.2
-1,3.25,4.25,3.75,1.75,0.5,0.5,0.5,0.25,0.25,0.25,0.25,-0.25
-1,0,0,-0.5,0.5,0.5,0.5,0,0,0,0,-0.5,0.5
-1,1.6,1.2,0.4,0.6,0.4,0.4,0.4,0.4,-0.2,-0.4,-0.8,-0.6
-1,2,3,2,1,0,0,0,0,0,0,0,0
-1,-2,-2,-1.333333333,-1.666666667,-2.333333333,-2.333333333,-2,-2,0,0,0,0
-1,1.5,1.5,1.5,-0.25,-0.25,-0.25,-0.5,-0.25,0.75,0.75,0.75,0.5
-1,0,0,1,2,0,0,0,0,2,2,2,2
-1,2,2,2,-1,1,1,1,-1,0,0,0,0
-1,-2,-2,-2,-1,1,1,1,1,0.5,0.5,0.5,0.5
-1,-0.25,-0.25,-0.75,-0.75,-1.25,-1.25,-1.25,-1.25,-0.5,-0.25,0,0
-1,-4.5,-4.5,-4.5,-3.5,-1,-1,-1,-2,-2,-2,-2,-0.5
-1,0.8,0.6,0.4,1.4,0,0,0,0,0.8,0.6,0.8,1
-1,-1,0,0,0,1,1,1,0,-1,0,0,0
-1,-0.666666667,-0.666666667,-0.666666667,-2,0.666666667,0.666666667,0.666666667,-0.666666667,0,0,0,0
-1,-1,-1,-1,-2,-2,-2,-2,-2,0,0,0,0
-1,4,4,4,0,1,1,1,0,2,2,2,0
-1,-0.333333333,0.666666667,1.333333333,0.333333333,-0.333333333,0.666666667,0.333333333,0.333333333,-1,-1,0,0
-1,6,6,4,2,3,3,1,0,0,0,0,0
-1,-3.333333333,-3.5,-2.166666667,-2.833333333,-1.333333333,-1.5,-0.666666667,-0.666666667,1,1,1.5,-0.833333333
-1,1.666666667,1.666666667,2.666666667,2,2.333333333,2.333333333,2.333333333,2,0.333333333,0.333333333,0.333333333,0
-1,0,0,0,0,0,0,0,0,0,0,0,0
-1,-0.5,-0.833333333,-0.166666667,-0.333333333,-1.5,-1.5,-1.333333333,-0.166666667,0.166666667,0.166666667,0.166666667,0
-1,-2,-1,-1,-1,-1,0,0,0,-2,-1,-1,-1
-1,-0.5,-0.5,-0.25,0.5,-0.5,-0.5,-0.5,0.25,0,0,0,0
-1,-1.5,-1.5,-2,-3,-3,-3,-3.5,-4,0,0,0,0
-1,2,2,2,0,-1,-1,-1,-1,3,3,3,1
-1,3.75,3.75,1,-1,2.25,2.25,0,-0.25,0.25,0.25,0,0
-1,0.25,-0.75,-1.25,-2,0.25,0.25,-0.25,-0.5,0.25,0.25,0.25,0
-1,-0.5,-0.375,-0.375,-0.5,-0.125,-0.125,-0.125,-0.25,0.125,0.125,0,0.125
-1,3,3,3,4,3,3,3,3,0,0,0,0
-1,0,0,1,0,1,1,2,0,-1,-1,-1,0
-1,4.5,5.5,2,1,0,0,0,0,7,8,3.5,3
-1,0.5,1.5,1,2,0,0,0,0,-1,0.5,0.5,1.5
-1,0,0,0,0,-0.5,-0.5,-0.5,0,0,0,0,0
-1,1,1,-1,-1,0,0,-2,-2,1,1,1,1
-1,0,0,0,-1,0.5,0.5,0,-0.5,0,0,-0.5,-1.5
-1,1,1,0,0,1,1,0,0,0,0,0,0
-1,6,3.5,1,1.5,1.5,1,-0.5,-1.5,1.5,1.5,1,2
-1,-4,-4,-1.5,0.5,-0.5,-0.5,-0.5,-0.5,-2.5,-2.5,0,1
-1,-3,-3,-2,-1,0,0,1,1,-1,-1,-1,0
-1,-0.142857143,-0.142857143,-0.142857143,0,-0.285714286,-0.285714286,-0.285714286,-0.142857143,0.142857143,0.142857143,0.142857143,0
-1,0.333333333,0.333333333,0,1,-1,-1,-1,0,0,0,0,0
-1,-4,-3,-1,-2,-1,-1,-1,0,0,1,1,0
-1,0.666666667,0.666666667,1,0,0.666666667,0.666666667,0.333333333,0,0,0,0,0
-1,0.333333333,0.333333333,0.333333333,0.333333333,1,1,1,0.666666667,1,1,1,1
-1,-1,-1,0,0,0,0,0,0,-2,-2,-2,-2
-1,2,2,0,0,-1,-1,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,-3,-3,-3,-4,0,0,0,0,0,0,0,0
1,4,4,3,1,3,3,3,1,4,4,3,1
1,-2,-2,-2,0,-2,-2,-2,-1,0,0,0,0
1,-4,-4,-4,-4,0,0,0,0,-4,-4,-4,-4
1,4,4,4,4,2,2,2,2,1,1,1,1
1,0,0,0,0.5,-1,-1,-1,-1.5,-1,-1,-1,-0.5
1,-3,-3,-3,-3,-4,-4,-4,-4,0,0,0,0
1,4,4,2,1,0.5,0.5,-0.5,-0.5,0.5,0.5,0,0
1,-6,-6,-3,-2,-1,-1,0,1,-4,-4,-3,-3
1,-4.25,-4.25,-4,-4.75,0.5,0.5,0.75,-0.25,-0.25,-0.25,-0.25,-0.25
1,3,2.5,0,-2,0,0,-1,-1,4,4.5,2,0
1,-0.666666667,-0.666666667,0,-2.666666667,-0.333333333,0.666666667,0.666666667,-1,-3,-3,-2,-1.666666667
1,4,1,0,-2,0,0,-1,-1,1,0,0,-1
